Incident ID,Reporter,Date of Occurance,Responsible Dirctorate,Region,District,Chiefdom,Community/Town/Village,Latitude,Longitude,Type of Incident,Cause of Incident,Dwelling Houses, Facility,School,Health Facility,Community Facility,Religious Center,Number of Facility,Shops/Business Center,Business Owners,Number of Households,Population Size,Response Status,Type of Response,Partners Intervention,Collaboration,Collaborating Partners,Date of Response,Male,Female,Boys,Girls,Persons with disability,Pregnant,Lactating Mothers,Death Cases,Injured cases,School Going Boys,School Going Girls
220130FRMO017,Open Source,30/01/2022,R & R,South,Moyamba,Bumpeh ,Rotifunk Village,8.03704,-12.09562,Fire,Electrical Malfunction,0,Domentary,1,0,0,0,1,0,0,0,250,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,12/03/2022,5,10,0,235,0,0,0,0,0,0,235
220201FRKE018,Open Source,01/02/2022,R & R,East,Kenema,Niawa,Bandawoh Village,7.863851,-11.183396,Fire,Unknown,4,None,0,0,0,0,0,0,0,14,89,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/03/2022,34,23,15,17,0,0,0,0,0,15,17
220205FRKE019,Open Source,05/02/2022,R & R,East,Kenema,Guara,Mende Kelema Village,7.863851,-11.183396,Fire,Unknown,1,None,0,0,0,0,0,0,0,7,52,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,26/03/2022,20,16,7,9,0,0,0,0,0,6,5
211117WSKE062,Open Source,17/11/2021,R & R,East,Kenema,Dama ,Kanga Village,7.863851,-11.183396,Windstorm,Wind,7,None,0,0,0,0,0,0,0,14,30,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/03/2022,13,8,5,4,0,2,0,0,0,5,4
220211FRFA020,DSCOORD,11/02/2022,R & R,North,Falaba,Sulima,"Affia B'ailahun Village,Fodia Section",9.855216,-11.322184,Fire,Uncontroled Bush Fire,17,None,0,0,0,0,0,0,0,17,50,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,30/03/2022,19,14,10,7,0,2,1,0,0,8,5
220115FRPU023,Open Source,15/01/2022,R & R,South,Pujehun,Kpaka,Korankoh Village,7.272644,-11.228923,Fire,Unknown,2,None,0,0,0,0,0,0,0,2,13,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,15/03/2022,5,3,3,2,0,0,0,0,0,3,1
220220FRWU026,Open Source,20/02/2022,R & R,Western Area,Western Urban,N/A,Wilkinson Road (Blind School),8.432676,-13.276372,Fire,Unknown,1,Female Dormentary,1,0,0,0,1,0,0,2,51,Yes,Food & Non-Food Items,Yes,Government & Partners,"Caritas,World Vision, MBSS,Save The Children",04/03/2022,2,3,24,22,47,0,0,0,6,24,11
220227FRSO028,DSCOORD,27/02/2022,R & R,South,Bonthe,Sogbini ,Baiama VillAage,7.52639,-12.505,Fire,Unknown,7,None,0,0,0,0,0,0,0,13,52,Yes,Food & Non-Food Items,No,Government only,Government Only,22/03/2022,23,11,10,8,2,4,2,0,0,8,3
220228FRSO029,DSCOORD,28/02/2022,R & R,South,Bonthe,Sittia,Njayahun Village,7.52639,-12.505,Fire,Unknown,36,None,0,0,0,0,0,0,0,38,127,Yes,Food & Non-Food Items,No,Government only,Government Only,23/03/2022,58,27,23,19,0,3,4,0,0,22,13
220227FRKO030,DSCOORD,27/02/2022,R & R,North,Koinadugu,0,Kabala Town,9.59718,-11.54688,Fire,Electrical Malfunction,2,None,0,0,0,0,0,16,18,3,74,Yes,Cash Transfer,No,Government only,Government Only,30/03/2022,44,23,8,2,2,0,2,0,0,2,1
201218FRKE004,DSCOORD,18/12/2020,R & R,East,Kenema,Gorama Mende,Tekuyama,7.863851,-11.183396,Fire,Unknown,14,None,0,0,0,0,0,0,0,36,203,Pending,Pending,No,Pending,Pending,31/03/2022,53,65,38,47,1,5,7,0,0,4364,3111
210702FRTK022,DSCOORD,02/07/2021,R & R,North,Tonkolili,Kholifa Rowalla,Ropolon/ Magburaka,8.717867,-11.951925,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,3,10,Pending,Pending,Pending,Pending,Pending,01/04/2022,3,4,2,1,0,0,0,1,0,0,0
210910WSWU055,Volunteer,10/09/2021,R & R,Western Area,Western Urban,N/A,9 Bass Street/Brookfields,8.432676,-13.276372,Windstorm,Wind,0,School ,1,0,0,0,1,0,0,0,70,Pending,Closed,No,Closed,Closed,02/04/2022,0,0,44,26,0,1,0,0,0,44,22
